梔子花房,https://www.hellotoby.com/zh-hk/biz/梔子花房-九龍灣?source=store-list,九龍灣寶康中心9樓07室,營業中,66316994
Celsius 15,https://www.hellotoby.com/zh-hk/biz/celsius-15-觀塘-3?source=store-list,九龍觀塘工業中心一期13樓C室,,64848109
BaChino Party,https://www.hellotoby.com/zh-hk/biz/bachino-party-荃灣?source=store-list,荃灣白田壩街信義工業大廈8樓,營業中,55348367
Party Fun Party 21,https://www.hellotoby.com/zh-hk/biz/party-fun-w-dream-party-荔枝角?source=store-list,九龍旺角好景商業中心2108,,91635812
We-Square,https://www.hellotoby.com/zh-hk/biz/we-square-觀塘?source=store-list,觀塘工業中心 三期四樓N室 ,,62934356
Party Fun 18 Fun,https://www.hellotoby.com/zh-hk/biz/party-fun-18-fun-旺角?source=store-list,旺角花園街2_16號好景商業中心18樓,,46111336
Party Fun 王子 Party,https://www.hellotoby.com/zh-hk/biz/party-fun-王子-旺角?source=store-list,旺角旺角道97號華懋王子大廈1/F K室,,91635812
Party Fun Poco Party,https://www.hellotoby.com/zh-hk/biz/party-fun-poco-party-旺角?source=store-list,旺角好景商業中心27樓11室,,62036803
Replay Party,https://www.hellotoby.com/zh-hk/biz/replay-party-葵涌?source=store-list,葵興永豐工業大廈,營業中,62545554
Party Fun 黑．CHILL PARTY,https://www.hellotoby.com/zh-hk/biz/party-fun-黑．chill-party-旺角?source=store-list,旺角西洋菜南街1A號百寶利商業中心22樓06室,,62036803
Party Fun Galaxy,https://www.hellotoby.com/zh-hk/biz/party-fun-galaxy-旺角?source=store-list,九龍旺角登打士街43D號達利商業大廈 4/F A室,,67799892
blackoasis,https://www.hellotoby.com/zh-hk/biz/blackoasis-葵涌?source=store-list,葵涌葵昌路18號美順工業大廈,營業中,57914169
party hub,https://www.hellotoby.com/zh-hk/biz/party-hub-葵芳?source=store-list,葵涌華星街,營業中,61631309
