BQ Party － Party Room & BBQ,https://reubird.hk/party-room/kwuntong-bq-party/gQ_kwuntong-bq-party,"星期一至四

11:30 - 17:30：每位$158 / 6小時
18:30 - 23:30：每位$168 / 5小時
23:59 - 07:59：每位$188 / 8小時
每人2款無酒精飲品（每位加$10可升級無限任飲）

星期五至日、公眾假期及公眾假期前夕 

11:30 - 17:30：每位$188 / 6小時
18:30 - 23:30：每位$198 / 5小時
23:59 - 07:49：每位$198 / 8小時
每人2款無酒精飲品（每位加$10可升級無限任飲）
",觀塘成業街19-21成業工業大廈401室, 場地面積: 2400 (平方尺) ,"
 場地最高可容納人數: 80人 "
Hyphen Party九龍灣,https://reubird.hk/party-room/hyphen_party_event/en4yi38Pbq_hyphen_party_event,,,,
Miniparty Autumn,https://reubird.hk/party-room/miniparty-autumn/miniparty-autumn-6357,,旺角花園街2-16號好景商業中心, 場地面積: 200 (平方尺) ,"
 場地最高可容納人數: 8人 "
Acoustic Partyroom 大店,https://reubird.hk/party-room/acoustic2/nr-acoustic2,"星期一至四：

06:00 - 17:00：每位$30 / 小時
17:00 - 23:00：每位$38 / 小時
23:00 - 18:00：每位$188 / 7小時

星期五至日、公眾假期及公眾假期前夕：

06:00 - 17:00：每位$35 / 小時
17:00 - 23:00：每位$46 / 小時
23:00 - 18:00：每位$180 / 7小時
",旺角好望角大廈, 場地面積: 500 (平方尺) ,"
 場地最高可容納人數: 28人 "
XX party,https://reubird.hk/party-room/xx-party/1r-xx-party,"<<3人-6人收費>>
平日收費(星期一至四)$110/3小時$120/4小時$140/5小時$160/6小時
周末/假日收費(星期五至日/假日/假日前夕)$130/3小時$140/4小時$160/5小時$180/6小時
加鐘：$20/hr 丨以上價錢以人頭計算丨
<<2人價錢表>>
平日收費(星期一至四)$120/3小時$140/4小時$160/5小時
加鐘：$20/hr 丨以上價錢以人頭計算丨
週末/假日收費（Fri-Sat/假日/假日前夕）$140/3小時$160/4小時$190/5小時
加鐘：$30/hr 丨以上價錢以人頭計算丨
以上價格已包飲品任飲

 
如需攜帶酒精飲品，需支付$500按金，如無嘔吐，打破玻璃，嚴重弄髒埸地情況，按金會在完埸後６小時內退回。
",旺角好景商業中心, 場地面積: 200 (平方尺) ,"
 場地最高可容納人數: 6人 "
A Little Bit Of Sweetness,https://reubird.hk/party-room/a-little-bit-of-sweetness/Kp-a-little-bit-of-sweetness,"星期一至四

09:00 - 13:00：每位$18 / 小時
13:00 - 18:00：每位$24 / 小時
18:00 - 00:00：每位$32 / 小時
23:00 - 08:00：每位$18 / 小時
最低消費4小時

星期五至日、公眾假期及公眾假期前夕

09:00 - 13:00：每位$22 / 小時
13:00 - 18:00：每位$26 / 小時
18:00 - 00:00：每位$36 / 小時
23:00 - 08:00：每位$20 / 小時
最低消費4小時


 
4人電動麻雀 Plan
星期一至四
早場（10:00 - 15:00）：整個時段$398
中午場（13:00 - 18:00）：整個時段$428
夜場（18:00 - 23:00）：整個時段$488
通宵場（23:00 - 08:00）：整個時段$468




星期五六日、公眾假期及公眾假期前夕每位$30附加費
以上收費只限4位入場，超過4位可在ReUbird查詢後另議
溫馨提示，本房間為非吸煙房間


",觀塘鴻圖道70號利安工業大廈3樓B座13室, 場地面積: 100 (平方尺) ,"
 場地最高可容納人數: 8人 "
AMPMongkok Party Room,https://reubird.hk/party-room/ampmongkok-party-room/ampmongkok-party-room-3523,"星期一至四

08:00 - 12:00：每位$20 / 小時
12:00 - 18:00：每位$25 / 小時
18:00 - 00:00：每位$30 / 小時
00:00 - 08:00：每位$140 / 8小時
飲品每位加$10任飲

星期五至日、公眾假期及公眾假期前夕

08:00 - 12:00：每位$25 / 小時
12:00 - 18:00：每位$35 / 小時
18:00 - 00:00：每位$38 / 小時
00:00 - 08:00：每位$160 / 8小時
飲品每位加$10任飲
",旺角百寶利商業中心, 場地面積: 280 (平方尺) ,"
 場地最高可容納人數: 15人 "
A Little Bit Of Happiness,https://reubird.hk/party-room/a-little-bit-of-happiness/a-little-bit-of-happiness-2929,"星期一至四

09:00 - 13:00：每位$20 / 小時
13:00 - 18:00：每位$26 / 小時
18:00 - 00:00：每位$34 / 小時
23:00 - 08:00：每位$20 / 小時
最低消費4小時及6人

星期五至日、公眾假期及公眾假期前夕

09:00 - 13:00：每位$24 / 小時
13:00 - 18:00：每位$36 / 小時
18:00 - 00:00：每位$40 / 小時
23:00 - 08:00：每位$24 / 小時
最低消費4小時及6人


 ",觀塘鴻圖道70號利安工業大廈3樓B座7室 , 場地面積: 240 (平方尺) ,"
 場地最高可容納人數: 16人 "
Lazyboss - 櫻花主題房,https://reubird.hk/party-room/lazyboss-sakura/nr-lazyboss-sakura,"星期一至四

09:00 - 13:00：每位$98 / 4小時  
14:00 - 18:00：每位$118 / 3小時；$138 / 4小時 
19:00 - 00:00：每位$128 / 3小時；$148 / 4小時
00:00 - 07:00（可加鐘提早入場）：每位$148 / 3小時；$188 / 7小時 

星期五至日、公眾假期及公眾假期前夕（任何時段）

每位$128 / 3小時  
每位$148 / 4小時 

 
人頭計算 ，任飲任玩 ！
一口價；不設加一！
攝影用途另設收費，詳情請透過ReUbird查詢（請誠實）",葵涌大連排道金豐工業大廈一期地下, 場地面積: 300 (平方尺) ,"
 場地最高可容納人數: 8人 "
DeLight House,https://reubird.hk/party-room/de-light-house/gr-de-light-house,"星期一至四、星期五18:00前：

每位$138 / 4小時
加時每位$25 / 小時

星期五18:00後、星期六日、公眾假期及公眾假期前夕：

每位$158 / 4小時
加時每位$30 / 小時

星期一至日23:00後,貓頭鷹時段收費

每位$188 / 8小時
 

*商業拍攝、工作坊、會議及講座收費請透過ReUbird另行查詢",荔枝角長沙灣道中國船舶大廈701室, 場地面積: 1100 (平方尺) ,"
 場地最高可容納人數: 80人 "
